PRISM Time Series Data
Location:  Lat: 39.4452   Lon: -110.7287   Elev: 5515ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2023-01-01 - 2025-11-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Jun-01
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
2024-08-10,0.05,59.1,72.8,86.5
2024-08-11,0.23,58.6,73.8,89.0
2024-08-12,0.31,59.1,71.6,84.0
2024-08-13,0.09,59.0,68.5,78.0
2024-08-14,0.31,56.3,63.7,71.1
2024-08-15,0.00,55.7,69.0,82.3
2024-08-16,0.00,55.5,71.5,87.5
2024-08-17,0.00,57.5,74.0,90.6
2024-08-18,0.44,55.2,70.4,85.5
2024-08-19,0.15,55.5,67.0,78.5
2024-08-20,0.07,56.0,70.5,85.0
2024-08-21,0.02,57.8,72.9,88.0
2024-08-22,0.05,60.6,72.9,85.1
2024-08-23,0.04,58.3,66.6,74.9
2024-08-24,0.14,56.4,65.2,74.1
2024-08-25,0.03,55.2,68.9,82.7
2024-08-26,0.04,48.5,65.1,81.6
2024-08-27,0.00,48.5,65.0,81.5
2024-08-28,0.00,49.6,67.1,84.6
2024-08-29,0.00,52.2,70.5,88.8
2024-08-30,0.00,50.1,68.6,87.2
2024-08-31,0.00,50.6,69.8,89.0
2024-09-01,0.00,50.7,70.3,89.8
2024-09-02,0.00,54.7,71.9,89.1
2024-09-03,0.00,53.9,71.1,88.3
2024-09-04,0.07,56.8,71.3,85.7
2024-09-05,0.00,55.9,71.3,86.7
2024-09-06,0.00,54.0,68.2,82.4
2024-09-07,0.00,51.5,68.3,85.1
2024-09-08,0.00,52.0,70.2,88.5
2024-09-09,0.00,52.6,70.4,88.1
2024-09-10,0.04,52.3,67.8,83.4
2024-09-11,0.00,51.8,67.7,83.6
2024-09-12,0.00,53.4,68.7,84.1
2024-09-13,0.00,46.4,60.6,74.8
2024-09-14,0.00,43.4,60.2,77.1
2024-09-15,0.00,44.7,63.8,82.8
2024-09-16,0.00,49.3,66.2,83.2
2024-09-17,0.00,49.4,64.7,79.9
2024-09-18,0.04,43.4,56.7,70.0
2024-09-19,0.00,41.8,57.2,72.6
2024-09-20,0.00,42.3,59.7,77.0
2024-09-21,0.00,45.2,62.3,79.4
2024-09-22,0.00,45.6,60.9,76.1
2024-09-23,0.00,44.3,60.5,76.7
2024-09-24,0.00,44.3,61.9,79.4
2024-09-25,0.00,47.2,64.8,82.5
2024-09-26,0.00,46.9,65.8,84.6
2024-09-27,0.00,50.8,69.0,87.3
2024-09-28,0.00,50.9,69.5,88.2
2024-09-29,0.00,49.8,68.9,87.9
2024-09-30,0.00,50.7,68.2,85.6
2024-10-01,0.00,46.7,66.6,86.6
2024-10-02,0.00,46.3,65.9,85.5
2024-10-03,0.00,46.0,66.0,86.0
2024-10-04,0.00,47.0,66.1,85.3
2024-10-05,0.00,46.1,65.3,84.5
2024-10-06,0.00,48.3,64.7,81.0
2024-10-07,0.00,47.1,64.5,81.9
2024-10-08,0.00,47.2,63.8,80.5
2024-10-09,0.00,46.4,62.1,77.7
2024-10-10,0.00,45.6,63.6,81.7
2024-10-11,0.00,45.6,63.2,80.8
2024-10-12,0.00,49.2,65.4,81.6
2024-10-13,0.00,47.1,63.3,79.4
2024-10-14,0.00,46.7,62.7,78.8
2024-10-15,0.02,41.6,58.7,75.8
2024-10-16,0.00,41.5,57.7,73.9
2024-10-17,0.04,43.3,56.9,70.5
2024-10-18,1.07,39.9,49.8,59.6
2024-10-19,0.12,35.6,42.5,49.3
2024-10-20,0.12,43.3,52.9,62.5
2024-10-21,0.08,39.4,47.5,55.5
2024-10-22,0.00,38.7,47.7,56.6
2024-10-23,0.00,38.4,50.4,62.3
2024-10-24,0.00,38.6,51.6,64.7
2024-10-25,0.00,35.2,49.7,64.1
2024-10-26,0.00,34.2,50.0,65.8
2024-10-27,0.00,37.0,52.4,67.7
2024-10-28,0.00,39.9,51.7,63.6
2024-10-29,0.05,40.2,53.0,65.8
2024-10-30,0.00,31.4,39.8,48.2
2024-10-31,0.00,26.9,37.3,47.7
2024-11-01,0.00,24.7,37.4,50.1
2024-11-02,0.00,26.7,39.2,51.7
2024-11-03,0.02,34.8,43.1,51.5
2024-11-04,0.00,32.1,37.6,43.1
2024-11-05,0.00,23.9,35.3,46.7
2024-11-06,0.00,24.3,33.2,42.0
2024-11-07,0.00,25.9,34.1,42.3
2024-11-08,0.00,20.4,36.0,51.6
2024-11-09,0.00,23.7,37.4,51.1
2024-11-10,0.00,24.8,41.0,57.2
2024-11-11,0.00,24.5,39.8,55.0
2024-11-12,0.01,24.2,39.0,53.7
2024-11-13,0.03,20.4,34.0,47.7
2024-11-14,0.00,18.4,32.6,46.9
2024-11-15,0.00,19.5,35.0,50.4
2024-11-16,0.00,21.0,37.5,54.0
2024-11-17,0.00,19.2,32.8,46.4
2024-11-18,0.00,17.4,32.2,46.9
2024-11-19,0.00,18.3,33.2,48.1
2024-11-20,0.00,15.6,27.6,39.6
2024-11-21,0.00,14.4,28.0,41.5
2024-11-22,0.00,16.2,31.8,47.4
2024-11-23,0.00,18.0,33.6,49.1
2024-11-24,0.00,20.2,34.7,49.3
2024-11-25,0.00,16.3,31.3,46.4
2024-11-26,0.09,14.9,27.4,39.8
2024-11-27,0.24,21.5,27.9,34.4
2024-11-28,0.00,11.2,26.2,41.2
2024-11-29,0.00,6.3,20.1,33.9
2024-11-30,0.00,6.3,19.4,32.5
2024-12-01,0.00,6.5,19.5,32.5
2024-12-02,0.00,9.4,22.3,35.3
2024-12-03,0.00,13.9,26.5,39.1
2024-12-04,0.00,19.7,31.3,42.8
2024-12-05,0.00,18.9,31.3,43.6
2024-12-06,0.00,19.0,31.1,43.2
2024-12-07,0.00,18.2,31.6,45.0
2024-12-08,0.00,17.9,31.3,44.6
2024-12-09,0.00,21.7,31.9,42.1
2024-12-10,0.00,14.9,24.9,34.9
2024-12-11,0.00,12.1,23.6,35.1
2024-12-12,0.00,11.0,23.4,35.7
2024-12-13,0.00,10.1,22.5,34.8
2024-12-14,0.00,14.1,26.7,39.3
2024-12-15,0.00,15.8,25.3,34.9
2024-12-16,0.00,15.8,30.0,44.2
2024-12-17,0.00,17.0,28.6,40.2
2024-12-18,0.00,18.3,31.6,45.0
2024-12-19,0.00,18.5,31.4,44.3
2024-12-20,0.00,17.8,31.6,45.5
2024-12-21,0.00,17.3,31.7,46.1
2024-12-22,0.00,18.5,31.4,44.2
2024-12-23,0.00,20.7,31.1,41.6
2024-12-24,0.00,23.4,35.7,48.0
2024-12-25,0.04,22.1,32.3,42.4
2024-12-26,0.00,24.4,33.7,43.1
2024-12-27,0.00,21.2,29.7,38.3
2024-12-28,0.20,19.4,26.2,33.0
2024-12-29,0.00,18.2,27.1,36.0
2024-12-30,0.00,19.9,30.1,40.3
2024-12-31,0.00,11.7,24.8,38.0
2025-01-01,0.00,11.0,22.6,34.3
2025-01-02,0.00,14.3,24.0,33.6
2025-01-03,0.00,17.1,28.5,40.0
2025-01-04,0.00,19.0,29.0,39.0
2025-01-05,0.00,21.0,30.0,39.1
2025-01-06,0.00,18.7,29.5,40.3
2025-01-07,0.00,20.9,27.5,34.0
2025-01-08,0.00,16.2,25.7,35.3
2025-01-09,0.00,10.0,22.5,35.1
2025-01-10,0.00,11.4,24.0,36.6
2025-01-11,0.00,11.0,22.7,34.5
2025-01-12,0.00,15.7,25.8,35.9
2025-01-13,0.00,11.3,23.2,35.0
2025-01-14,0.00,9.6,21.8,34.1
2025-01-15,0.00,9.7,21.8,34.0
2025-01-16,0.00,8.7,23.1,37.4
2025-01-17,0.00,11.0,25.2,39.3
2025-01-18,0.00,10.9,25.4,39.8
2025-01-19,0.00,3.6,15.4,27.3
2025-01-20,0.00,2.4,13.8,25.2
2025-01-21,0.00,0.6,12.1,23.6
2025-01-22,0.00,0.1,12.5,24.8
2025-01-23,0.00,5.0,19.2,33.4
2025-01-24,0.00,8.2,20.7,33.2
2025-01-25,0.00,6.4,19.0,31.5
2025-01-26,0.00,17.0,27.6,38.1
2025-01-27,0.00,15.0,27.8,40.7
2025-01-28,0.00,16.0,32.1,48.1
2025-01-29,0.00,24.3,35.6,47.0
2025-01-30,0.00,21.8,36.8,51.7
2025-01-31,0.00,18.6,35.6,52.6
2025-02-01,0.00,18.1,31.4,44.7
2025-02-02,0.00,25.5,37.0,48.5
2025-02-03,0.00,27.2,39.0,50.7
2025-02-04,0.00,35.2,46.6,58.0
2025-02-05,0.00,33.3,46.4,59.5
2025-02-06,0.00,29.1,44.3,59.6
2025-02-07,0.00,27.4,43.0,58.7
2025-02-08,0.00,27.5,44.2,60.8
2025-02-09,0.00,20.0,32.2,44.4
2025-02-10,0.00,13.1,26.9,40.7
2025-02-11,0.00,12.4,29.2,45.9
2025-02-12,0.00,9.2,25.3,41.3
2025-02-13,0.00,5.3,18.6,31.9
2025-02-14,0.13,6.6,15.8,25.0
2025-02-15,0.08,22.3,29.8,37.3
2025-02-16,0.00,17.3,27.9,38.5
2025-02-17,0.00,16.0,29.1,42.2
2025-02-18,0.00,19.2,34.4,49.6
2025-02-19,0.00,19.4,31.8,44.2
2025-02-20,0.00,18.5,30.9,43.3
2025-02-21,0.00,24.9,35.1,45.3
2025-02-22,0.00,19.8,34.9,49.9
2025-02-23,0.00,17.6,34.3,51.1
2025-02-24,0.00,23.2,39.8,56.4
2025-02-25,0.00,28.9,46.7,64.6
2025-02-26,0.00,28.7,45.0,61.3
2025-02-27,0.00,22.1,35.6,49.1
2025-02-28,0.00,18.5,36.5,54.6
2025-03-01,0.00,25.4,43.5,61.6
2025-03-02,0.00,29.6,46.2,62.8
2025-03-03,0.00,31.1,47.0,62.8
2025-03-04,0.08,29.2,36.9,44.7
2025-03-05,0.00,26.6,37.8,49.0
2025-03-06,0.26,25.5,37.3,49.1
2025-03-07,0.27,29.4,37.5,45.6
2025-03-08,0.01,28.5,36.3,44.0
2025-03-09,0.00,25.5,37.9,50.3
2025-03-10,0.00,24.9,40.3,55.6
2025-03-11,0.00,26.8,42.6,58.3
2025-03-12,0.00,29.7,44.3,58.9
2025-03-13,0.00,29.1,43.9,58.6
2025-03-14,0.16,29.8,39.0,48.3
2025-03-15,0.00,27.3,34.1,40.9
2025-03-16,0.00,24.3,33.6,42.9
2025-03-17,0.00,24.2,39.8,55.3
2025-03-18,0.04,34.1,46.5,59.0
2025-03-19,0.00,23.9,32.2,40.6
2025-03-20,0.00,23.2,34.8,46.4
2025-03-21,0.00,24.7,37.7,50.8
2025-03-22,0.01,27.3,40.0,52.8
2025-03-23,0.01,32.5,44.6,56.7
2025-03-24,0.00,34.3,47.1,59.9
2025-03-25,0.00,37.9,51.9,65.9
2025-03-26,0.00,38.8,55.3,71.8
2025-03-27,0.00,39.8,57.0,74.3
2025-03-28,0.00,40.9,57.3,73.6
2025-03-29,0.00,39.5,51.3,63.0
2025-03-30,0.03,28.3,42.8,57.3
2025-03-31,0.00,29.3,41.5,53.7
2025-04-01,0.00,31.1,46.2,61.4
2025-04-02,0.00,20.2,32.0,43.8
2025-04-03,0.00,21.9,33.3,44.7
2025-04-04,0.10,25.4,34.1,42.9
2025-04-05,0.02,30.6,40.5,50.5
2025-04-06,0.00,23.8,38.9,53.9
2025-04-07,0.00,22.5,41.3,60.1
2025-04-08,0.00,28.7,47.4,66.1
2025-04-09,0.00,35.2,52.5,69.8
2025-04-10,0.00,36.2,54.9,73.5
2025-04-11,0.00,38.9,57.5,76.0
2025-04-12,0.00,39.4,59.8,80.2
2025-04-13,0.00,43.0,60.4,77.9
2025-04-14,0.00,37.6,53.7,69.8
2025-04-15,0.00,34.8,52.4,70.0
2025-04-16,0.00,35.3,54.1,72.9
2025-04-17,0.00,40.5,55.1,69.6
2025-04-18,0.01,24.8,42.3,59.8
2025-04-19,0.03,25.7,37.1,48.4
2025-04-20,0.00,28.4,42.0,55.6
2025-04-21,0.00,32.3,48.4,64.6
2025-04-22,0.00,34.9,51.6,68.2
2025-04-23,0.00,39.4,55.2,71.0
2025-04-24,0.00,42.2,57.5,72.8
2025-04-25,0.00,43.9,56.3,68.7
2025-04-26,0.00,46.1,59.1,72.1
2025-04-27,0.00,41.2,56.1,70.9
2025-04-28,0.00,31.7,46.0,60.3
2025-04-29,0.00,31.4,45.6,59.8
2025-04-30,0.00,36.2,51.5,66.9
2025-05-01,0.00,37.7,50.5,63.3
2025-05-02,0.00,41.5,55.3,69.1
2025-05-03,0.00,39.5,56.1,72.8
2025-05-04,0.00,42.4,59.7,76.9
2025-05-05,0.03,45.3,57.2,69.1
2025-05-06,0.33,43.6,50.5,57.5
2025-05-07,0.00,43.4,53.9,64.4
2025-05-08,0.00,41.8,55.1,68.3
2025-05-09,0.00,44.3,59.6,74.9
2025-05-10,0.00,48.0,64.0,80.0
2025-05-11,0.00,50.9,65.9,80.8
2025-05-12,0.00,51.9,64.7,77.5
2025-05-13,0.00,50.9,67.3,83.6
2025-05-14,0.00,37.1,54.1,71.1
2025-05-15,0.00,35.7,46.5,57.3
2025-05-16,0.00,35.9,49.3,62.8
2025-05-17,0.00,42.4,54.5,66.6
2025-05-18,0.00,46.8,58.8,70.8
2025-05-19,0.18,37.9,47.9,57.9
2025-05-20,0.00,32.7,44.6,56.4
2025-05-21,0.00,35.4,52.9,70.4
2025-05-22,0.00,44.1,60.0,75.9
2025-05-23,0.00,49.8,67.1,84.4
2025-05-24,0.00,52.7,68.7,84.7
2025-05-25,0.00,54.6,68.0,81.3
2025-05-26,0.01,46.2,61.3,76.4
2025-05-27,0.00,48.0,64.0,80.0
2025-05-28,0.00,49.3,66.0,82.6
2025-05-29,0.00,51.2,67.3,83.3
2025-05-30,0.00,51.0,67.1,83.1
2025-05-31,0.00,52.8,70.7,88.6
2025-06-01,0.00,55.3,72.8,90.2
2025-06-02,0.00,59.0,75.7,92.3
2025-06-03,0.05,47.9,64.0,80.0
2025-06-04,0.00,46.1,61.3,76.6
2025-06-05,0.10,46.3,60.7,75.1
2025-06-06,0.10,47.7,60.9,74.1
2025-06-07,0.00,46.4,61.6,76.7
2025-06-08,0.00,49.8,67.6,85.4
2025-06-09,0.00,55.9,72.3,88.8
2025-06-10,0.00,52.3,70.4,88.4
2025-06-11,0.00,55.0,72.7,90.4
2025-06-12,0.00,59.1,75.0,91.0
2025-06-13,0.00,56.4,74.2,92.0
2025-06-14,0.00,56.4,74.5,92.6
2025-06-15,0.00,58.0,76.0,94.0
2025-06-16,0.00,61.8,78.5,95.2
2025-06-17,0.00,59.8,76.7,93.5
2025-06-18,0.00,55.1,70.2,85.3
2025-06-19,0.00,55.0,73.2,91.5
2025-06-20,0.00,58.8,77.8,96.8
2025-06-21,0.00,59.2,75.6,92.0
2025-06-22,0.00,51.8,70.5,89.2
2025-06-23,0.00,48.4,62.5,76.5
2025-06-24,0.00,49.8,65.2,80.6
2025-06-25,0.00,52.8,69.0,85.3
2025-06-26,0.00,51.8,67.7,83.5
2025-06-27,0.00,53.8,71.5,89.3
2025-06-28,0.00,56.3,74.1,91.8
2025-06-29,0.00,58.5,75.8,93.1
2025-06-30,0.00,59.9,76.1,92.3
2025-07-01,0.00,62.2,77.8,93.4
2025-07-02,0.00,62.6,77.8,93.0
2025-07-03,0.00,63.3,76.9,90.4
2025-07-04,0.03,57.2,67.3,77.4
2025-07-05,0.03,57.2,71.4,85.6
2025-07-06,0.00,59.1,74.9,90.8
2025-07-07,0.00,61.0,77.0,93.1
2025-07-08,0.00,61.9,77.9,93.8
2025-07-09,0.00,62.6,79.5,96.3
2025-07-10,0.00,66.5,80.5,94.4
2025-07-11,0.00,66.2,78.1,90.0
2025-07-12,0.00,65.7,78.5,91.3
2025-07-13,0.00,64.3,78.2,92.1
2025-07-14,0.00,65.8,81.5,97.3
2025-07-15,0.00,64.9,81.1,97.3
2025-07-16,0.00,65.1,79.5,93.8
2025-07-17,0.00,62.2,77.2,92.2
2025-07-18,0.00,62.3,76.6,90.9
2025-07-19,0.04,58.3,73.3,88.2
2025-07-20,0.00,57.7,72.4,87.1
2025-07-21,0.00,61.8,76.4,90.9
2025-07-22,0.01,55.7,68.5,81.3
2025-07-23,0.00,56.4,72.2,88.1
2025-07-24,0.00,61.2,75.9,90.5
2025-07-25,0.00,62.6,75.8,89.1
2025-07-26,0.00,60.8,75.1,89.5
2025-07-27,0.00,59.8,73.9,87.9
2025-07-28,0.00,57.5,73.2,88.8
2025-07-29,0.00,59.8,76.7,93.7
2025-07-30,0.00,61.9,77.7,93.4
2025-07-31,0.00,64.1,79.0,93.9
2025-08-01,0.00,60.3,76.1,92.0
2025-08-02,0.00,58.6,75.3,92.1
2025-08-03,0.00,61.7,76.3,90.9
2025-08-04,0.00,60.6,76.9,93.2
2025-08-05,0.00,60.6,76.6,92.7
2025-08-06,0.00,61.3,77.8,94.4
2025-08-07,0.00,63.3,79.0,94.7
2025-08-08,0.00,66.3,80.3,94.3
2025-08-09,0.00,62.7,77.1,91.6
2025-08-10,0.00,60.9,74.2,87.5
2025-08-11,0.00,59.8,73.3,86.8
2025-08-12,0.00,61.7,76.4,91.2
2025-08-13,0.00,63.0,78.3,93.6
2025-08-14,0.00,62.7,79.7,96.7
2025-08-15,0.01,65.4,78.6,91.8
2025-08-16,0.00,56.6,69.7,82.7
2025-08-17,0.05,55.5,69.5,83.4
2025-08-18,0.00,55.7,71.8,87.9
2025-08-19,0.00,58.5,75.1,91.7
2025-08-20,0.00,61.7,78.9,96.1
2025-08-21,0.00,61.6,79.3,97.0
2025-08-22,0.00,70.5,82.7,94.9
2025-08-23,0.05,64.4,78.7,93.0
2025-08-24,0.03,64.4,77.5,90.6
2025-08-25,0.06,61.3,71.4,81.5
2025-08-26,0.41,60.0,73.5,87.1
2025-08-27,0.49,58.5,65.0,71.4
2025-08-28,0.28,55.9,65.2,74.5
2025-08-29,0.01,55.1,68.0,81.0
2025-08-30,0.18,52.4,60.9,69.5
2025-08-31,0.00,52.6,66.7,80.9
2025-09-01,0.00,53.8,69.6,85.4
2025-09-02,0.00,53.8,71.0,88.2
2025-09-03,0.00,56.4,73.4,90.4
2025-09-04,0.00,56.7,73.5,90.3
2025-09-05,0.00,56.5,68.1,79.8
2025-09-06,0.08,56.1,68.3,80.5
2025-09-07,0.03,52.5,63.2,73.8
2025-09-08,0.00,50.9,66.5,82.2
2025-09-09,0.00,51.7,67.8,83.9
2025-09-10,0.00,51.9,67.6,83.3
2025-09-11,0.00,51.8,68.1,84.4
2025-09-12,0.00,49.0,65.3,81.7
2025-09-13,0.12,48.9,62.7,76.6
2025-09-14,0.06,40.2,51.0,61.8
2025-09-15,0.00,40.5,55.8,71.2
2025-09-16,0.00,46.2,63.2,80.3
2025-09-17,0.00,46.7,63.4,80.1
2025-09-18,0.00,46.5,62.6,78.7
2025-09-19,0.00,46.8,61.9,77.0
2025-09-20,0.00,48.7,62.4,76.1
2025-09-21,0.01,49.2,63.3,77.3
2025-09-22,0.05,49.0,64.0,79.1
2025-09-23,0.00,45.1,61.0,76.9
2025-09-24,0.00,45.8,56.6,67.4
2025-09-25,0.00,42.9,59.0,75.1
2025-09-26,0.00,43.3,61.1,78.8
2025-09-27,0.00,49.0,64.0,79.1
2025-09-28,0.02,47.9,63.6,79.3
2025-09-29,0.18,45.9,55.7,65.5
2025-09-30,0.00,46.7,58.7,70.7
2025-10-01,0.04,44.3,58.6,72.9
2025-10-02,0.00,43.0,58.2,73.5
2025-10-03,0.00,43.9,60.8,77.7
2025-10-04,0.00,47.6,63.4,79.1
2025-10-05,0.03,36.0,49.9,63.9
2025-10-06,0.00,36.0,50.0,64.1
2025-10-07,0.00,38.3,52.8,67.3
2025-10-08,0.00,37.1,54.0,71.0
2025-10-09,0.00,38.9,56.9,74.9
2025-10-10,0.46,44.0,57.5,70.9
2025-10-11,0.18,52.6,55.7,58.8
2025-10-12,0.08,38.0,51.9,65.8
2025-10-13,0.03,35.6,46.1,56.5
2025-10-14,0.05,35.2,47.3,59.3
2025-10-15,0.00,40.0,51.4,62.9
2025-10-16,0.23,36.1,48.8,61.5
2025-10-17,0.02,31.4,42.5,53.7
2025-10-18,0.00,31.6,45.5,59.5
2025-10-19,0.00,33.6,49.4,65.2
2025-10-20,0.00,33.7,49.2,64.7
2025-10-21,0.00,31.3,46.7,62.2
2025-10-22,0.00,29.7,46.6,63.5
2025-10-23,0.01,31.1,48.2,65.3
2025-10-24,0.00,37.4,48.4,59.4
2025-10-25,0.00,35.0,50.8,66.5
2025-10-26,0.00,34.2,47.5,60.7
2025-10-27,0.00,37.6,49.7,61.8
2025-10-28,0.00,25.4,43.1,60.8
2025-10-29,0.00,23.8,38.6,53.3
2025-10-30,0.00,25.0,42.0,59.0
2025-10-31,0.00,30.0,46.5,62.9
2025-11-01,0.00,33.8,50.8,67.7
2025-11-02,0.00,32.5,48.8,65.1
2025-11-03,0.00,30.2,48.4,66.6
2025-11-04,0.00,30.2,47.9,65.6
2025-11-05,0.00,29.3,46.7,64.0
2025-11-06,0.00,30.3,45.8,61.4
2025-11-07,0.00,28.1,45.9,63.7
2025-11-08,0.00,27.2,43.0,58.8
2025-11-09,0.00,32.3,46.7,61.2
2025-11-10,0.00,30.7,46.7,62.8
2025-11-11,0.00,28.5,45.0,61.5
2025-11-12,0.00,31.4,47.1,62.8
2025-11-13,0.00,30.5,44.5,58.5
2025-11-14,0.00,29.8,46.2,62.6
2025-11-15,0.00,35.1,46.3,57.6
2025-11-16,0.00,33.7,48.5,63.3
2025-11-17,0.75,35.3,41.9,48.6
2025-11-18,0.03,35.9,42.2,48.5
2025-11-19,0.03,36.3,42.2,48.2
2025-11-20,0.14,37.7,42.0,46.3
2025-11-21,0.10,31.3,40.7,50.1
2025-11-22,0.00,29.9,41.3,52.7
2025-11-23,0.00,28.6,40.4,52.1
2025-11-24,0.00,28.9,41.3,53.6
2025-11-25,0.00,28.1,40.6,53.1
2025-11-26,0.00,27.0,39.2,51.4
2025-11-27,0.00,25.9,37.4,48.8
2025-11-28,0.00,25.3,37.6,50.0
2025-11-29,0.00,25.3,36.9,48.5
2025-11-30,0.00,26.6,38.0,49.4
